epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,67.0672,0.60271,2.08176,1.54983,0.97222,1,0.995,0.796,0.94961,2.3337,2.06712,0.000713987,0.000713987,0.000713987
45,68.5571,0.57577,1.92773,1.342,0.97222,1,0.995,0.796,0.94961,2.3337,2.06712,0.00071781,0.00071781,0.00071781
46,70.0354,0.63501,2.02554,1.30415,0.97222,1,0.995,0.796,0.94961,2.3337,2.06712,0.000721066,0.000721066,0.000721066
47,71.542,0.5058,1.84028,1.41458,0.97222,1,0.995,0.796,0.94961,2.3337,2.06712,0.000723757,0.000723757,0.000723757
48,73.1036,0.69378,1.84979,1.59145,0.97222,1,0.995,0.796,0.94961,2.3337,2.06712,0.000725882,0.000725882,0.000725882
49,74.6609,0.58616,1.86277,1.43027,0.97222,1,0.995,0.796,0.94961,2.3337,2.06712,0.000727441,0.000727441,0.000727441
50,76.2207,0.53687,1.99342,1.19534,0.97222,1,0.995,0.796,0.94961,2.3337,2.06712,0.000728434,0.000728434,0.000728434
51,77.9086,0.70911,1.97466,1.57549,0.97222,1,0.995,0.796,0.94961,2.3337,2.06712,0.000721645,0.000721645,0.000721645
52,79.7287,0.6005,1.79078,1.47082,0.97222,1,0.995,0.796,0.94961,2.3337,2.06712,0.000707498,0.000707498,0.000707498
53,81.3821,0.60126,2.1939,1.4909,0.97222,1,0.995,0.796,0.94961,2.3337,2.06712,0.000693351,0.000693351,0.000693351
54,83.0001,0.65958,2.18703,1.52596,0.97222,1,0.995,0.796,0.94961,2.3337,2.06712,0.000679204,0.000679204,0.000679204
1,1.3987,2.4831,5.28235,2.78798,0.01124,1,0.199,0.066,0.87922,3.93713,2.35951,1.429e-05,1.429e-05,1.429e-05
2,2.88278,2.60854,5.04866,2.89671,0.01163,1,0.199,0.12935,0.90962,3.60519,2.34398,4.24456e-05,4.24456e-05,4.24456e-05
3,4.20562,1.6078,4.58031,2.39684,0.01163,1,0.199,0.12935,0.90962,3.60519,2.34398,7.00353e-05,7.00353e-05,7.00353e-05
4,5.58731,2.85099,4.85383,3.61336,0.01124,1,0.995,0.6965,1.03181,3.63857,2.55918,9.70591e-05,9.70591e-05,9.70591e-05
5,7.06944,1.1908,4.0379,1.99872,0.01124,1,0.995,0.6965,1.03181,3.63857,2.55918,0.000123517,0.000123517,0.000123517
6,8.5186,1.96128,4.2933,2.51156,0.01075,1,0.995,0.6965,1.09862,3.56269,2.61176,0.000149409,0.000149409,0.000149409
7,9.92343,1.13947,3.84432,1.84693,0.01075,1,0.995,0.6965,1.09862,3.56269,2.61176,0.000174735,0.000174735,0.000174735
8,11.3211,1.68428,4.20239,2.25106,0.01075,1,0.995,0.6965,1.09862,3.56269,2.61176,0.000199496,0.000199496,0.000199496
9,13.0302,1.33532,3.63197,2.1502,0.01031,1,0.995,0.54725,1.05653,3.64218,2.68633,0.00022369,0.00022369,0.00022369
10,14.709,1.02012,3.82355,1.82824,0.01031,1,0.995,0.54725,1.05653,3.64218,2.68633,0.000247318,0.000247318,0.000247318
11,16.3478,1.02959,3.87768,1.88783,0.01031,1,0.995,0.54725,1.05653,3.64218,2.68633,0.000270381,0.000270381,0.000270381
12,17.9153,0.83959,3.42183,1.6339,0.01031,1,0.995,0.54725,1.05653,3.64218,2.68633,0.000292878,0.000292878,0.000292878
13,19.4711,1.10587,3.45613,1.97976,0.00971,1,0.995,0.597,1.1793,3.5131,2.78642,0.000314809,0.000314809,0.000314809
14,21.079,0.72721,2.84831,1.80751,0.00971,1,0.995,0.597,1.1793,3.5131,2.78642,0.000336174,0.000336174,0.000336174
